longitude,latitude,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
-117.7409602,47.72050789,0.0,-1.0,763.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0
-117.3243678,47.80840337,0.0,-1.0,578.0,1.0,0.0,0.0,0.0,102.0,32.0,16.0,10.0
-117.1468311,47.62713134,0.0,69.0,628.0,5.0,0.0,0.0,0.0,102.0,73.0,32.0,26.0
-117.0582292,47.51556321,0.0,198.0,836.0,8.0,0.0,0.0,0.0,93.0,34.0,24.0,12.0
-117.3930105,47.41066024,0.0,299.0,757.0,5.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.5108965,47.39670158,0.0,-1.0,719.0,1.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0
-117.0416915,47.45434535,0.0,288.0,798.0,7.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.7606238,47.77630207,0.0,-1.0,756.0,1.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0
-117.6666848,47.34477139,0.0,123.0,685.0,8.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.3790228,47.40095613,0.0,315.0,765.0,6.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.3823666,47.50699777,0.0,-1.0,730.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0
-117.3989211,47.29451418,0.0,192.0,762.0,3.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.413869,48.04304024,0.0,-1.0,669.0,2.0,0.0,0.0,0.0,93.0,81.0,32.0,12.0
-117.7286222,47.75170692,0.0,-1.0,747.0,2.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0
-117.7318296,47.46782137,35.0,-1.0,714.0,0.0,6.0,10.0,35.0,162.0,0.0,0.0,0.0
-117.0609834,47.59673551,75.0,287.0,1288.0,22.0,22.0,3.0,75.0,162.0,0.0,0.0,0.0
-117.0863393,47.77095224,0.0,-1.0,648.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0
-117.4764369,47.38682216,0.0,355.0,738.0,3.0,0.0,0.0,0.0,93.0,34.0,49.0,11.0
-117.2487301,48.04279427,45.0,131.0,603.0,6.0,8.0,12.0,45.0,188.0,58.0,49.0,22.0
-117.3840258,47.79110146,0.0,-1.0,513.0,2.0,0.0,0.0,0.0,122.0,79.0,41.0,23.0
-117.3873526,47.64924235,0.0,-1.0,612.0,2.0,0.0,0.0,0.0,91.0,3607.0,933.0,1446.0
-117.7457707,47.43523663,0.0,-1.0,684.0,1.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.1132007,47.40092982,0.0,87.0,823.0,5.0,0.0,0.0,0.0,93.0,9.0,16.0,4.0
-117.3009652,47.72938405,0.0,341.0,713.0,4.0,0.0,0.0,0.0,93.0,86.0,65.0,27.0
-117.096533,48.04042548,45.0,14.0,984.0,24.0,8.0,10.0,45.0,142.0,0.0,0.0,0.0
-117.4282265,47.80029238,0.0,-1.0,577.0,0.0,0.0,0.0,0.0,122.0,46.0,32.0,19.0
-117.1985328,47.27626758,0.0,276.0,794.0,10.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.1665607,47.82268943,65.0,259.0,840.0,10.0,16.0,3.0,65.0,162.0,15.0,16.0,7.0
-117.2710619,47.66492608,0.0,-1.0,607.0,2.0,0.0,0.0,0.0,91.0,1334.0,770.0,503.0
-117.0806847,47.61750731,0.0,191.0,903.0,11.0,0.0,0.0,0.0,91.0,15.0,8.0,6.0
-117.0597573,47.88794324,85.0,168.0,1196.0,10.0,30.0,15.0,85.0,165.0,0.0,0.0,0.0
-117.6613926,47.8040007,0.0,146.0,728.0,4.0,0.0,0.0,0.0,101.0,25.0,24.0,10.0
-117.2514483,48.0021721,45.0,-1.0,631.0,2.0,8.0,12.0,45.0,188.0,29.0,24.0,10.0
-117.2881179,48.04207497,0.0,-1.0,641.0,2.0,0.0,0.0,0.0,93.0,16.0,24.0,5.0
-117.336596,47.94176258,35.0,88.0,571.0,9.0,6.0,10.0,35.0,162.0,26.0,32.0,11.0
-117.5535343,47.58770457,0.0,-1.0,743.0,1.0,0.0,0.0,0.0,91.0,121.0,50.0,48.0
-117.6271899,47.76834702,0.0,-1.0,721.0,1.0,0.0,0.0,0.0,93.0,48.0,33.0,12.0
-117.2686455,48.01022159,35.0,179.0,655.0,5.0,6.0,10.0,35.0,162.0,0.0,0.0,0.0
-117.5999835,47.50380219,0.0,186.0,765.0,5.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.6560233,47.29782679,0.0,301.0,696.0,7.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.4573189,47.99579952,0.0,-1.0,667.0,0.0,0.0,0.0,0.0,121.0,32.0,32.0,14.0
-117.5417979,47.53093058,0.0,224.0,795.0,5.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0
-117.7828334,47.65739643,0.0,287.0,760.0,6.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.0770229,47.66278997,45.0,-1.0,644.0,1.0,6.0,20.0,45.0,183.0,81.0,28.0,28.0
-117.155449,47.60913571,0.0,270.0,712.0,5.0,0.0,0.0,0.0,93.0,20.0,16.0,7.0
-117.4431258,47.37616653,0.0,300.0,780.0,4.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.6023364,47.43333425,25.0,-1.0,705.0,1.0,4.0,11.0,25.0,183.0,0.0,0.0,0.0
-117.4777146,47.74314623,0.0,288.0,620.0,6.0,0.0,0.0,0.0,91.0,1580.0,535.0,523.0
-117.8153461,47.33011014,0.0,136.0,623.0,4.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.0461245,47.28154021,0.0,134.0,817.0,5.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.180339,48.02254023,0.0,219.0,764.0,23.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0
-117.3765404,48.03556347,45.0,233.0,622.0,5.0,8.0,12.0,45.0,188.0,26.0,16.0,14.0
-117.3500227,47.7469441,0.0,302.0,682.0,12.0,0.0,0.0,0.0,122.0,132.0,97.0,48.0
-117.7815899,47.73107342,0.0,-1.0,757.0,1.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.7348545,47.29211284,0.0,-1.0,612.0,2.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
