fid,LATITUDE,LONGITUDE
741395,47.5578,-117.3791
741396,47.55825,-117.3766
741397,47.55846,-117.4012
741398,47.5604,-117.40397
741399,47.5604,-117.4182
741400,47.5605,-117.3796
741401,47.562,-117.383
741402,47.56408,-117.40395
741403,47.56767,-117.39861
741404,47.56773997,-117.4146
741405,47.5713,-117.39855
741406,47.57135,-117.40389
741407,47.5722,-117.4163
741408,47.57301,-117.4011
741409,47.57482,-117.37709
741410,47.53955,-117.4089
741411,47.54369,-117.4005
741412,47.63388,-117.4478
741413,47.65084,-117.4465
741414,47.6347,-117.4483
741415,47.62331,-117.4408
741416,47.65125,-117.4471
741417,47.61163,-117.4338
741418,47.61202,-117.4226
741419,47.64873,-117.4493
741420,47.5828,-117.4293
741421,47.58113,-117.4208
741422,47.54604,-117.4467
741423,47.63001,-117.4465
741424,47.5886,-117.4481
741425,47.6205,-117.4464
741426,47.6168,-117.4534
741427,47.6504,-117.4224
741428,47.5849,-117.4523
741429,47.5824,-117.4422
741430,47.6501,-117.4196
741431,47.59269,-117.4521
741432,47.5894,-117.4214
741433,47.6047,-117.4423
741434,47.64817,-117.41921
741435,47.58567,-117.41975
741436,47.57843,-117.41986
741437,47.57466,-117.42522
741438,47.56743,-117.42527
741439,47.56382,-117.42531
741440,47.58899,-117.42964
741441,47.54198,-117.43029
741442,47.56003,-117.43511
741443,47.55641,-117.43525
741444,47.53469,-117.43592
741445,47.60345,-117.44004
741446,47.59983,-117.44014
741447,47.59983,-117.44014
741448,47.53469,-117.44126
741449,47.6037,-117.4438
741450,47.6041904,-117.4448106
741451,47.57459,-117.44632
741452,47.54922,-117.45185
741453,47.53829,-117.4519
741454,47.59269,-117.4521
741455,47.59269,-117.4521
741456,47.5963,-117.45211
741457,47.5963,-117.45211
741458,47.5963,-117.45211
741459,47.58425833,-117.4528802
741460,47.64178,-117.4499
741461,47.61319,-117.6069
741462,47.64566,-117.6066
741463,47.626,-117.6043
741464,47.60035,-117.6002
741465,47.63024,-117.57983
741466,47.60371,-117.57795
741467,47.5944,-117.573
741468,47.60007,-117.57255
741469,47.59282,-117.56719
741470,47.59238,-117.5624
741471,47.606,-117.5524
741472,47.6001,-117.5486
741473,47.59553,-117.5427
741474,47.64851,-117.54237
741475,47.59328,-117.5394
741476,47.60435,-117.5359
741477,47.60676,-117.5324
741478,47.60573,-117.5312
741479,47.60394761,-117.527299
741480,47.64392,-117.5407
741481,47.58846,-117.5353
741482,47.60284,-117.5809
741483,47.59105,-117.5666
741484,47.64650612,-117.6043141
741485,47.65190613,-117.5674141
741486,47.64598678,-117.4807039
741487,47.6293,-117.4806
741488,47.6542,-117.4804
741489,47.61672,-117.4793
741490,47.63745,-117.4785
741491,47.64105,-117.47842
741492,47.6548,-117.4782
741493,47.65552,-117.47801
741494,47.6425,-117.4775
741495,47.642,-117.477
741496,47.6212,-117.4769
741497,47.64381,-117.4768
741498,47.63739,-117.4729
741499,47.63836,-117.4711
741500,47.6552,-117.4691
741501,47.6541,-117.468
741502,47.61929,-117.4675
741503,47.64096,-117.4659
741504,47.6377,-117.465
741505,47.62145764,-117.4626191
741506,47.65215,-117.4621
741507,47.63378,-117.4597
741508,47.64784,-117.4673
741509,47.65627,-117.4653
741510,47.64137,-117.4694
741511,47.66269,-117.4672
741512,47.66269,-117.4672
741513,47.6408,-117.4801
741514,47.65532,-117.4699
741515,47.6494,-117.4798
741516,47.64267,-117.4707
741517,47.65824614,-117.4576141
741518,47.64477,-117.5049
741519,47.65557,-117.5048
741520,47.6241,-117.5048
741521,47.6219,-117.5044
741522,47.62297,-117.49964
741523,47.65555,-117.49944
741524,47.641879,-117.497213
