fid,LATITUDE,LONGITUDE,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
778119,47.335,-117.5995,35,-1,697,1,6,17,35,162,13,16,6
778120,47.33701477,-117.5781362,35,-1,623,1,9,3,35,183,0,0,0
778121,47.34173,-117.57678,35,291,658,5,6,37,35,162,0,0,0
778122,47.34544002,-117.577,35,183,661,9,6,24,35,162,0,0,0
778123,47.3491,-117.5664,25,84,679,12,4,23,25,162,0,0,0
778124,47.355719,-117.539681,0,264,726,5,0,0,0,91,0,0,0
778125,47.37115,-117.5431,0,-1,712,2,0,0,0,91,0,0,0
778126,47.3744,-117.5644,25,120,689,11,4,36,25,162,0,0,0
778127,47.37836,-117.57211,35,251,697,3,6,10,35,162,0,0,0
778128,47.38333333,-117.5833333,0,74,702,3,0,0,0,123,0,0,0
778129,47.38333333,-117.5833333,0,74,702,3,0,0,0,123,0,0,0
778130,47.38333333,-117.5333333,0,-1,702,0,0,0,0,121,0,0,0
778131,47.3848,-117.5938,0,113,702,5,0,0,0,122,0,0,0
778132,47.3877,-117.5762,35,223,690,6,6,12,35,183,0,0,0
778133,47.3885,-117.5644,35,-1,696,0,6,15,35,183,0,0,0
778134,47.3896,-117.581,0,-1,696,1,0,0,0,102,25,49,36
778135,47.30382,-117.5564,0,-1,690,0,0,0,0,102,0,0,0
778136,47.38993,-117.5842,0,123,696,3,0,0,0,102,4,8,6
778137,47.36444,-117.5988,35,-1,696,0,6,8,35,183,0,0,0
778138,47.36369611,-117.562614,0,270,691,7,0,0,0,123,0,0,0
778139,47.459,-117.577,45,-1,704,1,8,17,45,183,10,8,4
778140,47.4631,-117.5764,0,-1,699,0,0,0,0,103,0,0,0
778141,47.4644,-117.5632,0,-1,699,2,0,0,0,103,0,0,0
778142,47.4668,-117.5366,0,-1,707,1,0,0,0,91,24,24,10
778143,47.4724,-117.551,0,-1,708,0,0,0,0,123,0,0,0
778144,47.47652,-117.57277,0,-1,702,1,0,0,0,122,0,0,0
778145,47.47696,-117.53176,0,-1,726,2,0,0,0,122,0,0,0
778146,47.48001,-117.553,0,-1,699,0,0,0,0,102,0,0,0
778147,47.48005,-117.55834,45,-1,705,1,8,9,45,183,27,8,3
778148,47.48022,-117.5835,0,-1,714,1,0,0,0,91,94,57,73
778149,47.48363,-117.54776,0,-1,699,0,0,0,0,98,0,0,0
778150,47.49093095,-117.5507363,0,-1,701,2,0,0,0,103,0,0,0
778151,47.491,-117.5673,45,-1,706,2,6,20,45,183,183,73,165
778152,47.49839,-117.53732,0,263,701,4,0,0,0,143,0,0,0
778153,47.5016,-117.551,0,-1,713,1,0,0,0,142,0,0,0
778154,47.50188,-117.54266,35,-1,693,1,6,12,35,183,25,16,12
778155,47.50552,-117.54266,25,121,698,3,6,3,25,162,64,49,28
778156,47.50915,-117.5426,35,-1,714,2,6,10,35,162,116,32,16
778157,47.5162,-117.5295,35,134,697,7,9,3,35,162,19,16,8
778158,47.52723,-117.53176,45,53,760,10,12,3,45,188,19,16,8
778159,47.52735,-117.55826,0,-1,741,2,0,0,0,122,123,41,27
778160,47.52738,-117.57268,0,-1,726,0,0,0,0,93,27,24,11
778161,47.45499,-117.53241,0,299,726,3,0,0,0,122,0,0,0
778162,47.48732,-117.5532,35,-1,701,1,6,8,35,183,13,17,1
778163,47.5019,-117.55334,35,-1,715,0,9,3,35,183,0,0,0
778164,47.48018,-117.57812,0,55,707,3,0,0,0,91,1408,81,779
778165,47.52376,-117.58344,0,349,765,9,0,0,0,102,0,0,0
778166,47.4625,-117.533,35,-1,705,1,6,37,35,162,0,0,0
778167,47.48105,-117.52654,35,-1,712,2,6,45,35,162,9,8,3
