fid,LATITUDE,LONGITUDE,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
742063,47.7822,-117.486,55,235,474,6,1,100,55,161,11,8,4
742064,47.80953,-117.4818,0,327,825,5,0,0,0,122,97,41,32
742065,47.8124,-117.4798,45,284,803,10,6,20,45,183,101,49,34
742066,47.8081,-117.4776,0,86,836,5,0,0,0,91,166,105,59
742067,47.78586,-117.4938,35,115,489,6,9,3,35,162,0,0,0
742068,47.84373,-117.5117,45,1,712,18,8,5,45,188,0,0,0
742071,47.82836,-117.5051,25,294,753,9,4,23,25,162,0,0,0
742074,47.79341,-117.5479,35,-1,473,1,9,16,35,122,93,73,40
742075,47.80729,-117.5049,0,140,887,26,0,0,0,122,12,8,4
742077,47.8059,-117.7999,0,302,508,7,0,0,0,91,8,8,3
742082,47.8012,-117.79598,45,0,548,3,8,25,45,188,50,49,17
742089,47.7986,-117.7907,45,38,562,3,8,25,45,188,42,41,14
742090,47.79392,-117.79057,45,35,636,12,8,12,45,188,0,0,0
742094,47.81918,-117.76938,0,39,531,4,0,0,0,93,0,0,0
742095,47.79381,-117.76902,55,326,702,25,11,3,55,162,0,0,0
742098,47.8273,-117.7575,0,45,470,14,0,0,0,98,0,0,0
742099,47.82635,-117.75321,0,-1,469,0,0,0,0,98,0,0,0
742100,47.81551,-117.7532,0,-1,552,0,0,0,0,93,0,0,0
742101,47.80821,-117.75309,0,296,560,4,0,0,0,93,0,0,0
742104,47.79998,-117.7647,45,-1,568,1,8,3,45,188,80,73,33
742105,47.80207,-117.7946,35,8,539,7,9,3,35,162,56,49,20
742107,47.79496,-117.7964,35,323,628,5,6,24,35,162,0,0,0
742108,47.80252,-117.7933,25,318,545,8,6,3,25,162,62,49,23
742110,47.8033759,-117.8197113,35,23,587,13,6,24,35,162,0,0,0
742111,47.80486,-117.80673,35,140,530,9,9,16,35,122,25,24,9
742112,47.8063,-117.8064,45,-1,538,0,8,12,45,188,33,32,12
742113,47.81209999,-117.8178,0,-1,536,1,0,0,0,91,4,8,2
742114,47.814,-117.8168,35,45,534,13,9,3,35,122,14,27,6
742143,47.79902,-117.8143,45,37,616,8,8,9,45,188,17,16,6
742144,47.79946,-117.8155,45,38,617,9,8,5,45,188,17,16,6
742145,47.8087,-117.434,55,337,623,3,11,3,55,188,10,8,3
742146,47.8093,-117.4204,35,287,635,3,9,3,35,162,0,0,0
742147,47.8108588,-117.4131735,35,153,582,5,6,37,35,162,0,0,0
742148,47.81087,-117.42441,45,86,614,9,8,3,45,188,30,24,10
742149,47.8109,-117.41902,45,302,627,13,8,12,45,188,0,0,0
742150,47.81448,-117.42973,0,315,599,3,0,0,0,91,90,73,29
742151,47.81451,-117.4245,35,27,595,7,6,10,35,162,60,49,19
742152,47.81812,-117.42979,35,193,590,7,1,100,35,161,161,81,43
742153,47.81815,-117.42455,0,-1,596,1,0,0,0,122,113,57,30
742154,47.82205,-117.4308,45,156,620,5,8,3,45,188,0,0,0
742155,47.82343,-117.44149,0,117,617,4,0,0,0,122,81,41,22
742156,47.8237,-117.4204,0,225,608,5,0,0,0,91,53,49,27
742157,47.8242,-117.4116,45,112,604,5,6,20,45,183,970,308,221
742158,47.8294,-117.4139,0,71,632,4,0,0,0,122,299,122,80
742159,47.83262,-117.4459,0,-1,658,1,0,0,0,93,52,49,21
742160,47.83273,-117.41927,0,-1,647,1,0,0,0,121,18,8,4
742161,47.83273,-117.41927,0,-1,647,1,0,0,0,121,18,8,4
742162,47.83273,-117.4139,0,106,636,3,0,0,0,91,56,41,20
742163,47.8337,-117.4437,0,-1,658,1,0,0,0,102,122,114,50
742164,47.83621,-117.4622,0,172,667,5,0,0,0,121,48,41,17
742165,47.8381,-117.4633,0,166,692,5,0,0,0,122,68,57,26
742166,47.84002,-117.4245,0,-1,655,1,0,0,0,102,0,0,0
742167,47.84718,-117.44614,0,-1,657,2,0,0,0,122,78,73,32
742168,47.85094,-117.46246,0,127,768,8,0,0,0,122,44,41,18
742169,47.8525,-117.4418,35,329,642,3,6,8,35,185,78,73,33
742170,47.85255,-117.4561,35,131,706,7,6,10,35,162,44,41,18
742171,47.8531,-117.4696,35,269,707,13,6,10,35,162,0,0,0
742172,47.81837,-117.427,35,126,591,4,6,10,35,162,97,49,26
742173,47.83621,-117.45138,0,-1,670,1,0,0,0,121,49,41,19
742174,47.83262,-117.44592,0,-1,658,1,0,0,0,93,52,49,21
742175,47.81086,-117.44043,45,33,635,4,8,12,45,188,10,8,3
742176,47.81918,-117.4179,45,266,593,6,8,12,45,188,28,24,11
742177,47.82523,-117.4184,0,185,620,3,0,0,0,93,53,49,27
742178,47.80999,-117.4348,0,-1,617,2,0,0,0,122,0,0,0
742179,47.80401,-117.4508,0,33,690,5,0,0,0,121,0,0,0
742180,47.81959,-117.4242,0,-1,599,1,0,0,0,102,26,24,9
742181,47.80567,-117.4314,45,234,643,5,8,12,45,188,40,32,13
742182,47.80905,-117.4642,45,117,717,5,8,3,45,188,77,65,26
742183,47.826,-117.6583,25,47,566,19,4,36,25,162,63,65,29
742184,47.8289,-117.6619,0,21,579,9,0,0,0,91,39,41,18
742185,47.82961,-117.66119,0,53,550,19,0,0,0,122,39,41,18
742186,47.82961,-117.66119,0,53,550,19,0,0,0,122,39,41,18
742187,47.82975,-117.67741,35,105,660,7,6,24,35,162,0,0,0
742189,47.83321,-117.66119,35,-1,517,2,6,10,35,162,33,32,14
742190,47.83335,-117.6774,35,124,647,7,9,3,35,162,41,41,17
742194,47.8369,-117.66659,55,67,526,11,11,3,55,188,25,24,10
742196,47.8405,-117.6799,45,205,654,4,8,9,45,183,0,0,0
742203,47.84774,-117.66659,0,61,483,8,0,0,0,91,0,0,0
742211,47.82273,-117.6825,45,-1,695,2,8,12,45,188,0,0,0
742212,47.83088,-117.6619,45,101,536,14,8,12,45,188,16,16,7
742213,47.82562,-117.6555,0,54,533,8,0,0,0,122,63,65,29
742215,47.58182,-117.3892,25,242,633,7,6,9,25,162,55,32,17
742216,47.58213,-117.38231,0,217,706,6,0,0,0,121,0,0,0
742217,47.58226,-117.40912,0,91,643,7,0,0,0,122,57,65,20
742218,47.5834,-117.3834,0,-1,710,1,0,0,0,122,0,0,0
742219,47.5857,-117.4016,45,249,563,4,1,100,45,161,46,36,14
742220,47.58584,-117.39831,0,249,575,9,0,0,0,122,117,49,24
742221,47.5887,-117.3764,55,31,689,19,11,3,55,162,111,65,35
742222,47.5891,-117.401,0,298,567,9,0,0,0,91,319,103,96
742223,47.5891,-117.401,0,298,567,9,0,0,0,91,319,103,96
742224,47.58947,-117.39289,45,348,618,5,8,7,45,186,0,0,0
742225,47.58951,-117.40362,0,103,567,5,0,0,0,91,73,27,25
742226,47.59124,-117.417217,45,15,696,19,8,10,45,185,1107,422,476
742227,47.59187,-117.4026,0,-1,565,1,0,0,0,122,47,19,17
742228,47.59306,-117.37139,0,-1,715,2,0,0,0,91,166,97,52
742229,47.59306,-117.37139,0,-1,715,2,0,0,0,91,166,97,52
742230,47.59312,-117.38747,0,192,703,9,0,0,0,91,756,235,233
742231,47.59313,-117.39283,0,236,646,10,0,0,0,91,1334,397,386
742232,47.59589,-117.3931,35,287,664,17,9,3,35,142,426,138,131
742233,47.59598,-117.3917,45,294,694,20,8,3,45,188,496,162,158
742234,47.59603,-117.3933,0,262,655,15,0,0,0,91,377,122,114
742235,47.612,-117.388,0,-1,728,1,0,0,0,91,1343,503,464
742236,47.6171,-117.4061,0,-1,716,2,0,0,0,91,1731,868,728
742237,47.67625,-117.3836,0,149,573,4,0,0,0,91,2653,404,1121
742238,47.60392,-117.3685,0,-1,724,1,0,0,0,91,1803,333,899
742239,47.60736,-117.4002,55,304,691,24,11,3,55,162,601,268,304
742240,47.61018615,-117.364814,0,-1,716,1,0,0,0,91,1010,97,549
742241,47.60743,-117.71751,0,-1,724,0,0,0,0,93,0,0,0
742242,47.6232,-117.71447,0,298,735,3,0,0,0,91,54,41,21
742243,47.55541,-117.7113,0,-1,766,1,0,0,0,102,0,0,0
742244,47.58,-117.71,0,-1,740,0,0,0,0,98,33,0,0
742245,47.63768,-117.7092,25,310,715,3,6,9,25,162,95,73,37
742246,47.63042,-117.70912,35,34,732,3,9,3,35,162,76,97,42
742247,47.62679,-117.7091,35,39,736,4,9,3,35,162,0,0,0
742248,47.6159,-117.70906,35,-1,746,1,9,3,35,162,0,0,0
742249,47.57831,-117.70675,35,-1,747,2,6,8,35,183,0,0,0
742250,47.57831,-117.70675,35,-1,747,2,6,8,35,183,0,0,0
742251,47.55822,-117.7041,0,-1,738,1,0,0,0,142,47,16,0
742252,47.5728,-117.7041,35,197,758,5,9,4,35,185,54,8,2
742253,47.62313,-117.7037,0,-1,747,1,0,0,0,93,0,0,0
742254,47.6195,-117.70368,0,-1,747,1,0,0,0,93,0,0,0
742255,47.6343,-117.7035,35,201,732,4,9,16,35,122,166,122,66
742256,47.5309,-117.7034,35,-1,729,0,6,10,35,162,0,0,0
742257,47.6237,-117.7032,0,-1,748,0,0,0,0,93,0,0,0
742258,47.56739,-117.70143,0,-1,753,2,0,0,0,102,52,8,2
742259,47.57103,-117.70141,0,-1,764,2,0,0,0,101,157,24,7
742260,47.62311,-117.69829,0,-1,747,0,0,0,0,93,0,0,0
742261,47.62311,-117.69829,0,-1,747,0,0,0,0,93,0,0,0
742262,47.61586,-117.6983,0,-1,751,1,0,0,0,93,0,0,0
742263,47.57829,-117.69599,35,67,760,9,6,10,35,162,0,0,0
742264,47.5504,-117.6952,0,-1,735,1,0,0,0,121,0,0,0
742265,47.58924001,-117.6906,0,-1,733,0,0,0,0,102,33,32,8
742266,47.6171,-117.6888,0,-1,751,0,0,0,0,91,83,65,30
742267,47.5387,-117.6868,25,321,730,6,4,23,25,162,234,177,123
742268,47.6252,-117.6866,0,-1,748,0,0,0,0,121,10,8,4
742269,47.6303,-117.6852,0,-1,746,1,0,0,0,102,0,0,0
742270,47.56267,-117.6882,0,-1,739,0,0,0,0,121,57,41,24
742271,47.60986,-117.7141,0,-1,724,1,0,0,0,102,5,8,2
742272,47.531,-117.68518,45,-1,734,1,8,16,45,186,11,8,6
742273,47.55671,-117.6851,0,-1,742,2,0,0,0,181,0,0,0
742274,47.55732,-117.6879,15,289,743,5,3,75,15,183,0,0,0
742275,47.61879,-117.6887,0,-1,751,0,0,0,0,122,83,65,30
742276,47.60898611,-117.7137141,0,-1,723,0,0,0,0,103,0,0,0
742277,47.68787,-117.5029,0,112,644,11,0,0,0,91,40,32,15
742278,47.68811,-117.49373,35,15,535,5,6,10,35,162,0,0,0
742279,47.6887,-117.4787,0,177,555,23,0,0,0,102,0,0,0
742280,47.69179,-117.50468,35,-1,653,2,6,24,35,162,40,32,15
742281,47.6936,-117.507,25,-1,657,1,6,9,25,162,20,16,8
742282,47.6938,-117.4932,45,174,505,6,8,3,45,188,18,42,10
742283,47.69495,-117.4982,35,79,529,20,6,24,35,162,5,11,3
742284,47.69902,-117.4994,55,65,526,11,11,3,55,188,0,0,0
742285,47.69905,-117.4994,55,65,526,11,11,3,55,188,0,0,0
742286,47.6991,-117.5002,55,63,530,23,11,3,55,188,0,0,0
742287,47.70898,-117.4814,55,-1,579,1,11,3,55,188,0,0,0
742288,47.7092,-117.4997,35,260,505,16,6,10,35,162,0,0,0
742289,47.70933,-117.4914,0,273,554,25,0,0,0,123,25,8,7
742290,47.70968,-117.4886,0,-1,576,1,0,0,0,122,0,0,0
742291,47.7097,-117.4842,45,-1,577,1,8,3,45,188,0,0,0
742292,47.71015,-117.4886,0,-1,576,1,0,0,0,122,25,8,7
742293,47.71708,-117.49961,0,113,492,6,0,0,0,98,0,0,0
742294,47.7187,-117.5117,45,82,540,4,8,3,45,188,0,0,0
742295,47.68835,-117.4977,45,35,541,3,8,12,45,188,0,0,0
742296,47.71378,-117.64429,0,-1,722,2,0,0,0,121,24,25,10
742297,47.7348,-117.6433,25,-1,616,1,6,7,25,183,63,49,17
742298,47.73554,-117.65519,35,93,678,12,6,24,35,162,10,8,4
742299,47.73575,-117.68744,35,-1,732,1,6,10,35,162,0,0,0
742300,47.7391,-117.63371,0,128,623,5,0,0,0,123,14,16,6
742301,47.7391,-117.6577,0,153,731,3,0,0,0,122,0,0,0
742302,47.7393,-117.6346,35,113,633,17,6,10,35,162,14,16,6
742303,47.74272,-117.63904,0,47,716,3,0,0,0,91,46,32,15
742304,47.74274,-117.64435,0,-1,739,0,0,0,0,122,11,8,4
742305,47.74278,-117.6783,0,-1,653,2,0,0,0,91,220,130,65
742306,47.74289,-117.6348,0,66,672,22,0,0,0,122,34,24,11
742307,47.7451,-117.6438,35,267,732,5,9,4,35,183,0,0,0
742308,47.75031,-117.68756,35,11,704,9,6,24,35,162,55,24,16
742309,47.751,-117.654,35,-1,733,0,6,10,35,162,16,16,7
742310,47.7517,-117.6777,35,257,724,3,6,37,35,162,0,0,0
742311,47.7538,-117.6795,35,151,714,3,6,24,35,162,0,0,0
742312,47.75837,-117.6873,45,276,720,5,8,25,45,188,9,8,4
742313,47.6083,-117.5218,0,-1,730,1,0,0,0,123,59,89,42
742314,47.6011,-117.5204,0,-1,729,0,0,0,0,98,37,0,0
742315,47.6108,-117.5202,0,-1,727,1,0,0,0,91,91,154,62
742316,47.64139,-117.5202,0,-1,698,1,0,0,0,91,101,105,122
742317,47.6,-117.51636,0,-1,726,0,0,0,0,123,60,49,24
742318,47.6,-117.51636,0,-1,726,0,0,0,0,123,60,49,24
742319,47.60361,-117.51617,0,-1,726,0,0,0,0,122,50,41,20
742320,47.60723,-117.51594,0,-1,725,1,0,0,0,91,216,211,120
742321,47.64484,-117.51565,0,-1,696,1,0,0,0,121,14,57,14
742322,47.58896,-117.5111,0,-1,719,1,0,0,0,102,0,0,0
742323,47.5927,-117.51108,0,-1,720,0,0,0,0,102,0,0,0
742324,47.60722,-117.51047,0,-1,719,1,0,0,0,91,178,89,33
742325,47.62298,-117.51031,0,-1,716,1,0,0,0,91,0,24,0
742326,47.62298,-117.51031,0,-1,716,1,0,0,0,91,0,24,0
742327,47.62298,-117.51031,0,-1,716,1,0,0,0,91,0,24,0
742328,47.61931,-117.51023,0,-1,717,0,0,0,0,91,7,89,2
742329,47.61931,-117.5102,0,-1,717,0,0,0,0,91,7,89,2
742330,47.61492,-117.5097,0,-1,718,1,0,0,0,91,706,406,331
742331,47.6228,-117.5095,0,-1,715,0,0,0,0,91,0,24,0
742332,47.6142,-117.5092,0,-1,718,1,0,0,0,91,693,414,327
742333,47.64209,-117.5076,35,0,696,4,6,37,35,162,24,16,10
742334,47.621,-117.5073,0,-1,715,1,0,0,0,91,13,122,3
742335,47.59698,-117.5069,0,-1,718,2,0,0,0,102,10,8,4
742336,47.6221,-117.5062,0,-1,714,1,0,0,0,91,8,57,3
742337,47.59998,-117.50529,0,-1,722,2,0,0,0,101,30,24,12
742338,47.6036,-117.50517,0,-1,715,1,0,0,0,122,71,57,28
742339,47.60722,-117.5051,0,-1,714,1,0,0,0,121,130,138,57
742340,47.62298,-117.50498,0,-1,713,1,0,0,0,91,3,8,2
742341,47.64115,-117.50493,0,-1,705,1,0,0,0,91,0,0,0
742342,47.61931,-117.50489,0,-1,715,0,0,0,0,91,20,178,5
742343,47.61563,-117.50479,0,-1,714,0,0,0,0,91,466,324,219
742344,47.61563,-117.50479,0,-1,714,0,0,0,0,91,466,324,219
742345,47.61563,-117.50479,0,-1,714,0,0,0,0,91,466,324,219
742346,47.7967,-117.3785,45,-1,498,1,6,20,45,183,232,162,83
742347,47.79955,-117.3825,0,-1,494,0,0,0,0,98,385,0,0
742348,47.7997,-117.3752,0,-1,501,1,0,0,0,103,30,32,18
742349,47.80008,-117.38132,25,-1,496,2,1,100,25,122,341,199,135
742350,47.8008,-117.3873,35,172,512,15,6,10,35,162,151,81,58
742351,47.8018,-117.3928,0,137,552,3,0,0,0,91,1617,560,538
742352,47.80215,-117.4064,0,234,566,3,0,0,0,91,239,73,81
742353,47.80369,-117.3974,0,-1,558,2,0,0,0,91,2226,665,644
742354,47.80393,-117.3867,45,-1,540,1,8,12,45,188,0,0,0
742355,47.805,-117.4065,0,181,574,3,0,0,0,91,64,49,20
742356,47.8059,-117.3832,45,80,525,6,8,25,45,188,206,81,65
742357,47.807,-117.401,0,-1,582,1,0,0,0,91,1227,365,486
742358,47.80882,-117.3994,0,-1,581,2,0,0,0,91,2065,511,558
742359,47.8093,-117.3775,55,138,502,9,11,3,55,188,225,122,72
742360,47.8109,-117.3868,45,125,562,5,6,20,45,183,149,57,31
742361,47.81102,-117.37607,35,-1,498,2,6,10,35,162,174,134,82
742362,47.81102,-117.37607,35,-1,498,2,6,10,35,162,174,134,82
742363,47.81837,-117.38681,45,121,547,14,8,12,45,188,38,32,15
742364,47.8211,-117.3836,0,155,529,3,0,0,0,102,47,41,19
742365,47.8235,-117.3781,0,-1,510,2,0,0,0,91,208,73,41
742366,47.8255,-117.40845,0,-1,596,1,0,0,0,91,159,114,53
742367,47.8255,-117.40845,0,-1,596,1,0,0,0,91,159,114,53
742368,47.83295,-117.3762,55,-1,502,2,1,100,55,161,110,83,43
742369,47.8355,-117.3857,0,167,564,4,0,0,0,91,28,24,11
742370,47.84044,-117.3821,35,151,535,6,9,3,35,162,107,73,41
742371,47.84306,-117.386,55,77,569,18,11,3,55,162,137,89,50
742372,47.85487,-117.39217,45,89,602,4,8,8,45,185,159,122,57
742373,47.85794,-117.3813,15,-1,559,2,1,100,15,122,81,49,27
742374,47.85918,-117.3915,45,-1,594,1,8,3,45,188,85,89,36
742375,47.80431,-117.3864,45,-1,540,1,8,12,45,188,21,8,6
742376,47.82991616,-117.3790141,0,73,512,8,0,0,0,91,66,52,26
742377,47.59688,-117.6537,0,-1,742,1,0,0,0,122,0,0,0
742378,47.56388,-117.6534,0,-1,715,0,0,0,0,98,0,0,0
742379,47.58559999,-117.6531,0,-1,731,2,0,0,0,122,14,16,8
742380,47.5854,-117.6497,0,-1,728,2,0,0,0,91,14,16,8
742381,47.55278,-117.6476,0,258,735,5,0,0,0,91,980,552,407
742382,47.5912,-117.6463,0,-1,734,1,0,0,0,142,0,0,0
742383,47.587,-117.643,0,-1,720,1,0,0,0,142,7,8,4
742384,47.57826,-117.64233,0,-1,722,2,0,0,0,121,80,49,23
742385,47.57096,-117.64232,35,286,727,7,6,17,35,162,0,0,0
742386,47.57096,-117.64232,35,286,727,7,6,17,35,162,0,0,0
742387,47.57096,-117.6423,35,286,727,7,6,17,35,162,0,0,0
742388,47.57461,-117.6423,0,-1,720,0,0,0,0,142,93,97,45
742389,47.5824,-117.6394,0,-1,732,1,0,0,0,142,0,0,0
742390,47.58556,-117.63697,0,-1,732,1,0,0,0,122,40,41,20
742391,47.58188,-117.63694,45,-1,730,1,8,5,45,183,0,0,0
742392,47.58188,-117.63694,45,-1,730,1,8,5,45,183,0,0,0
742393,47.58188,-117.63694,45,-1,730,1,8,5,45,183,0,0,0
742394,47.57823,-117.63693,0,219,735,3,0,0,0,123,0,0,0
742395,47.57459,-117.63692,0,-1,720,0,0,0,0,121,50,41,18
742396,47.5737,-117.6362,0,340,722,5,0,0,0,91,24,24,10
742397,47.54607,-117.6352,0,-1,733,0,0,0,0,181,0,0,0
742398,47.53955,-117.6341,0,-1,739,2,0,0,0,91,42,49,17
742399,47.5491,-117.6257,0,316,738,9,0,0,0,91,0,0,0
742400,47.5831,-117.6231,0,-1,730,0,0,0,0,142,0,0,0
742401,47.5792,-117.6214,0,-1,734,1,0,0,0,142,0,0,0
742402,47.5914,-117.6213,0,-1,724,1,0,0,0,121,77,74,31
742403,47.59396,-117.6187,0,-1,723,1,0,0,0,91,108,84,37
742404,47.5531,-117.6165,35,348,779,14,9,3,35,142,7,8,3
742405,47.5849,-117.6163,35,-1,732,1,9,3,35,162,68,65,27
742406,47.552505,-117.616,45,352,793,12,8,3,45,186,7,8,3
742407,47.5942,-117.6159,0,-1,724,1,0,0,0,102,28,24,10
742408,47.5752,-117.6158,0,-1,736,0,0,0,0,142,44,49,14
742409,47.5874,-117.6157,0,-1,729,0,0,0,0,91,85,81,34
742410,47.54077,-117.6502,0,289,725,4,0,0,0,183,0,0,0
742411,47.7598,-117.3992,55,-1,591,1,11,10,55,188,975,341,334
742412,47.742,-117.3988,0,-1,599,2,0,0,0,91,235,81,137
742413,47.71687,-117.39797,0,-1,627,1,0,0,0,91,4217,998,1982
742414,47.7565,-117.39785,0,-1,593,1,0,0,0,91,138,57,55
742415,47.7565,-117.39785,0,-1,593,1,0,0,0,91,138,57,55
742416,47.76012,-117.39784,0,-1,587,2,0,0,0,91,1575,568,553
742417,47.76012,-117.39784,0,-1,587,2,0,0,0,91,1575,568,553
742418,47.7373,-117.3972,0,-1,615,2,0,0,0,91,256,65,118
742419,47.74372,-117.3954,0,-1,598,0,0,0,0,91,1428,114,352
742420,47.74357,-117.3941,35,-1,598,1,9,3,35,186,1411,81,352
742421,47.7422,-117.3939,0,-1,601,1,0,0,0,122,34,32,0
742422,47.74042,-117.3939,35,-1,603,2,9,3,35,162,1,24,0
742423,47.737456,-117.393862,0,-1,615,2,0,0,0,91,758,138,304
742424,47.73665,-117.3936,0,-1,615,2,0,0,0,91,1512,154,607
742425,47.74018,-117.3935,35,358,604,3,6,10,35,162,1,41,0
742426,47.7381,-117.3931,0,-1,616,2,0,0,0,91,3,81,1
742427,47.75637,-117.3928,0,-1,593,2,0,0,0,91,34,178,12
742428,47.742512,-117.392704,45,-1,600,0,6,20,45,183,0,0,0
742429,47.74312,-117.3926,15,-1,601,2,5,14,15,122,1102,32,281
742430,47.74465,-117.3925,0,-1,599,1,0,0,0,91,3307,97,844
742431,47.73963,-117.392,0,343,611,5,0,0,0,122,2,49,1
742432,47.74158,-117.3919,35,-1,601,1,9,3,35,162,0,0,0
742433,47.73795,-117.3818,0,-1,608,0,0,0,0,91,4,114,1
742434,47.74243,-117.3814,35,-1,600,1,9,3,35,162,0,0,0
742435,47.75101,-117.3784,0,-1,596,1,0,0,0,91,1,16,0
742436,47.7429,-117.3716,25,129,598,3,4,19,25,185,0,0,0
743457,48.02027,-117.50979,0,-1,679,1,0,0,0,102,6,16,5
743462,48.0410632,-117.48678,0,-1,708,2,0,0,0,121,25,41,10
743499,47.77455,-117.54778,0,121,491,8,0,0,0,91,0,49,0
743500,47.77834,-117.56359,45,47,536,3,12,3,45,188,0,0,0
743501,47.7805,-117.592,45,-1,703,2,8,25,45,188,11,8,3
743502,47.78216,-117.59626,0,-1,700,1,0,0,0,93,32,24,10
743503,47.78221998,-117.6071,0,-1,727,0,0,0,0,121,40,73,23
743504,47.78536998,-117.5428,45,-1,469,2,1,100,45,161,126,151,82
743505,47.78554,-117.55846,45,-1,489,1,8,3,45,188,10,8,4
743506,47.78559,-117.5635,0,-1,494,1,0,0,0,122,71,57,30
743507,47.78593,-117.6231,0,-1,724,2,0,0,0,93,0,0,0
743508,47.79626001,-117.5479,0,-1,470,2,0,0,0,91,483,324,197
743509,47.79626,-117.54794,0,-1,470,2,0,0,0,91,483,324,197
743510,47.80041998,-117.6126,55,-1,525,0,11,3,55,188,80,73,33
743511,47.80412,-117.62328,45,-1,531,0,8,3,45,188,196,130,66
743522,47.81849,-117.61794,0,50,474,3,0,0,0,91,539,447,218
743523,47.81854,-117.62338,0,-1,476,1,0,0,0,93,11,8,4
743529,47.77455,-117.54778,0,121,491,8,0,0,0,91,0,49,0
743531,47.77849,-117.58531,35,68,691,4,6,24,35,162,32,24,10
743534,47.79626,-117.53739,0,-1,469,0,0,0,0,98,157,0,0
743536,47.78927,-117.57994,0,50,503,3,0,0,0,91,53,49,22
743539,47.82571,-117.61808,0,-1,469,0,0,0,0,98,102,0,0
743541,47.67367,-117.6226,0,-1,725,2,0,0,0,122,116,49,44
743542,47.7229,-117.6134,35,18,708,3,6,24,35,162,55,49,24
743543,47.6882,-117.6119,0,202,707,5,0,0,0,121,92,67,25
743544,47.76028001,-117.607,0,-1,706,1,0,0,0,122,45,41,16
743545,47.76368451,-117.6068554,35,-1,703,2,9,3,35,183,64,57,22
743546,47.6809,-117.60114,0,94,706,4,0,0,0,123,0,0,0
743547,47.71731,-117.5909,0,228,674,15,0,0,0,102,0,0,0
743548,47.71731,-117.5909,0,228,674,15,0,0,0,102,0,0,0
743549,47.69175,-117.58521,0,264,609,5,0,0,0,91,77,97,36
743550,47.74251,-117.5851,0,-1,566,0,0,0,0,122,42,49,19
743551,47.76018,-117.57444,35,-1,683,2,9,3,35,162,21,16,6
743552,47.69643483,-117.5730005,45,47,709,10,8,12,45,188,0,0,0
743553,47.7661,-117.5705,55,38,683,7,11,10,55,165,0,0,0
743554,47.68819,-117.5692,0,-1,700,2,0,0,0,121,0,0,0
743555,47.68096,-117.56918,0,-1,701,1,0,0,0,121,0,0,0
743556,47.70642,-117.56402,35,-1,684,0,9,3,35,162,23,57,11
743557,47.69914,-117.55857,0,-1,691,2,0,0,0,102,0,0,0
743558,47.74959,-117.59608,55,62,599,10,11,5,55,162,0,0,0
743559,47.69538,-117.59599,35,176,678,11,9,3,35,162,0,0,0
743560,47.74237,-117.56356,35,-1,571,1,9,16,35,122,84,89,37
743561,47.7353,-117.59062,45,26,596,15,8,5,45,188,7,8,3
743562,47.6918,-117.61198,35,35,697,16,6,37,35,162,22,16,6
743563,47.76405,-117.61772,0,43,710,3,0,0,0,91,138,105,40
743564,47.74237,-117.56356,35,-1,571,1,9,16,35,122,84,89,37
743565,47.70647,-117.59613,25,97,581,3,4,11,25,183,18,16,8
743566,47.76043,-117.62306,35,34,723,4,9,3,35,162,60,41,15
743567,47.74605,-117.57971,0,-1,576,2,0,0,0,122,21,16,6
743568,47.75304,-117.569,35,214,670,5,6,24,35,162,11,8,3
743569,47.67003,-117.59584,0,-1,718,1,0,0,0,122,0,0,0
743570,47.75314,-117.60699,35,312,719,4,9,3,35,162,16,16,7
743571,47.86532,-117.53265,0,-1,666,2,0,0,0,93,0,0,0
743572,47.83985,-117.53233,0,351,683,3,0,0,0,122,31,24,7
743573,47.83985,-117.5323,0,351,683,3,0,0,0,122,31,24,7
743574,47.79263,-117.53184,45,-1,470,1,1,100,45,161,0,0,0
743575,47.7805,-117.5276,65,-1,471,0,1,100,65,161,15,9,4
743576,47.81804,-117.5265,0,256,715,6,0,0,0,103,136,24,14
743577,47.78899,-117.52635,0,257,544,24,0,0,0,99,0,0,0
743578,47.82544,-117.52125,0,222,819,7,0,0,0,122,67,65,23
743579,47.85689177,-117.5064556,0,-1,651,1,0,0,0,102,0,0,0
743580,47.78207999,-117.4941,0,175,475,3,0,0,0,91,37,30,16
743581,47.83445312,-117.4910656,0,251,722,8,0,0,0,122,47,41,17
743582,47.93053,-117.49035,0,-1,662,0,0,0,0,122,0,0,0
743583,47.91242,-117.49012,0,238,619,5,0,0,0,121,34,24,14
743584,47.90154,-117.49,0,-1,605,1,0,0,0,102,32,32,11
743585,47.90884997,-117.4847,45,302,632,7,8,12,45,188,68,49,27
743586,47.90885,-117.4847,45,302,632,7,8,12,45,188,68,49,27
743587,47.9016,-117.4846,0,258,609,4,0,0,0,122,29,32,14
743588,47.82539,-117.4837,35,192,759,8,6,10,35,162,0,0,0
743589,47.77491,-117.48317,25,46,507,9,4,23,25,162,9,8,4
743590,47.79435,-117.529058,0,252,542,7,0,0,0,122,48,24,15
743591,47.7785,-117.48865,45,35,480,15,8,5,45,188,0,0,0
743592,47.87607,-117.48411,0,291,628,3,0,0,0,102,0,0,0
743593,47.81078,-117.50516,25,83,903,15,4,13,25,142,0,0,0
743594,47.912,-117.52831,0,-1,659,1,0,0,0,93,0,0,0
743595,47.93422,-117.48505,0,-1,652,2,0,0,0,122,83,89,35
